date,day,month,max_temp,min_temp,precipitation,Brooklyn,Manhattan,Williamsburg,Queensboro
1/4/2017,Saturday,April,46,37,0,606,1446,1915,1430
2/4/2017,Sunday,April,62.1,41,0,2021,3943,4207,2862
3/4/2017,Monday,April,63,50,0.03,2470,4988,5178,3689
4/4/2017,Tuesday,April,51.1,46,1.18,723,1913,2279,1666
5/4/2017,Wednesday,April,63,46,0,2807,5276,5711,4197
6/4/2017,Thursday,April,48.9,41,0.73,461,1324,1739,1372
7/4/2017,Friday,April,48,43,0,1222,2955,3399,2765
8/4/2017,Saturday,April,55.9,39.9,0,1674,3163,4082,2691
9/4/2017,Sunday,April,66,45,0,2375,4377,4886,3261
10/4/2017,Monday,April,73.9,55,0,3324,6359,6881,4731
11/4/2017,Tuesday,April,80.1,62.1,0,3887,7247,8079,5501
12/4/2017,Wednesday,April,73.9,57.9,0.02,2565,5633,6620,4537
13/4/2017,Thursday,April,64,48.9,0,3353,6052,6775,4700
14/4/2017,Friday,April,64.9,48.9,0,2942,5054,5877,4142
15/4/2017,Saturday,April,64.9,52,0,2253,3853,4965,3291
16/4/2017,Sunday,April,84.9,62.1,0,2877,4585,5259,3687
17/4/2017,Monday,April,73.9,64,0,3152,6352,6924,4658
18/4/2017,Tuesday,April,66,50,0,3415,6691,7341,5012
19/4/2017,Wednesday,April,52,45,0,1965,4632,5234,3996
20/4/2017,Thursday,April,64.9,50,0.17,1567,3365,4302,3056
21/4/2017,Friday,April,53.1,48,0.29,1426,3142,3674,2672
22/4/2017,Saturday,April,55.9,52,0.11,1318,2297,2963,2366
23/4/2017,Sunday,April,64.9,46.9,0,2520,4681,5105,3434
24/4/2017,Monday,April,60.1,50,0,2544,5366,5762,4183
25/4/2017,Tuesday,April,54,50,0.91,611,1402,1902,1578
26/4/2017,Wednesday,April,59,54,0.34,1247,2774,3429,2369
27/4/2017,Thursday,April,68,59,0,2959,5311,6026,4285
28/4/2017,Friday,April,82.9,57.9,0,3679,6774,7196,5138
29/4/2017,Saturday,April,84,64,0.06,3315,5605,6045,4078
30/4/2017,Sunday,April,64,54,0,2225,4057,4513,3137
1/5/2017,Monday,May,72,50,0,3084,6506,6793,4820
2/5/2017,Tuesday,May,73.9,66.9,0,3423,7035,7789,5449
3/5/2017,Wednesday,May,64.9,57.9,0,3342,6984,7445,4804
4/5/2017,Thursday,May,63,50,0,3019,6525,6922,5144
5/5/2017,Friday,May,59,52,3.02,513,1471,1951,1421
6/5/2017,Saturday,May,64.9,57,0.18,1892,3815,5502,3965
7/5/2017,Sunday,May,54,48.9,0.01,3539,3547,4941,3851
8/5/2017,Monday,May,57,45,0,2886,5812,6249,4432
9/5/2017,Tuesday,May,61,48,0,2718,6455,6910,5000
10/5/2017,Wednesday,May,70,51.1,0,2810,6396,7075,4980
11/5/2017,Thursday,May,61,51.8,0,2657,6179,6750,5139
12/5/2017,Friday,May,62.1,51.1,0,2640,5367,6325,4692
13/5/2017,Saturday,May,51.1,45,1.31,151,484,874,865
14/5/2017,Sunday,May,64.9,46,0.02,1452,2704,3320,2389
15/5/2017,Monday,May,66.9,55.9,0,2685,5865,5981,4550
16/5/2017,Tuesday,May,78.1,57.9,0,3666,7847,8420,6209
17/5/2017,Wednesday,May,90,66,0,3535,7888,8540,6121
18/5/2017,Thursday,May,91.9,75,0,3190,6886,7645,5753
19/5/2017,Friday,May,90,75.9,0,2952,6432,6859,5272
20/5/2017,Saturday,May,64,55.9,0.01,2161,3896,5198,3910
21/5/2017,Sunday,May,66.9,55,0,2612,4656,5634,3782
22/5/2017,Monday,May,61,54,0.59,768,1633,2116,1609
23/5/2017,Tuesday,May,68,57.9,0,3174,6715,7011,4899
24/5/2017,Wednesday,May,66.9,57,0.04,2969,6005,6872,4344
25/5/2017,Thursday,May,57.9,55.9,0.58,488,1196,1789,1316
26/5/2017,Friday,May,73,55.9,0.1,2590,4563,5344,3642
27/5/2017,Saturday,May,71.1,61,0,2609,4013,6105,3703
28/5/2017,Sunday,May,71.1,59,0,2640,4048,5456,3549
29/5/2017,Monday,May,57.9,55.9,0.13,836,1730,2738,1704
30/5/2017,Tuesday,May,59,55.9,0.06,2301,5366,5938,4431
31/5/2017,Wednesday,May,75,57.9,0.03,2689,5717,6523,4575
1/6/2017,Thursday,June,78.1,62.1,0,3468,7328,8461,6184
2/6/2017,Friday,June,73.9,60.1,0.01,3271,7007,7968,5293
3/6/2017,Saturday,June,72,55,0.01,2589,4510,6210,4084
4/6/2017,Sunday,June,68,60.1,0.09,1805,3127,4023,3023
5/6/2017,Monday,June,66.9,60.1,0.02,2171,4552,5276,3359
6/6/2017,Tuesday,June,55.9,53.1,0.06,1193,3021,3807,2572
7/6/2017,Wednesday,June,66.9,54,0,3211,7180,7632,5072
8/6/2017,Thursday,June,68,59,0,3253,7083,7778,5288
9/6/2017,Friday,June,80.1,59,0,3401,6859,7744,5155
10/6/2017,Saturday,June,84,68,0,3066,5193,6391,4425
11/6/2017,Sunday,June,90,73,0,2465,4388,5153,3178
12/6/2017,Monday,June,91.9,77,0,2854,6265,7049,5032
13/6/2017,Tuesday,June,93.9,78.1,0,2882,6141,7155,5399
